tweet_id,sentiment,content
1957001967,neutral,"Morning tweeple,way to early again"
1957002082,sadness,"Last day working for the Uni today, sad times"
1957003715,neutral,"where are all ma bestfriends at ? , MIA or wat ?"
1957005226,sadness,is still missing her husband.    I really want him home.
1957005279,sadness,I miss my puppy
1957005713,sadness,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)
1957006033,sadness,@BarbSchaefer yearling in pet home died... very sad for their whole family
1957006074,neutral,fun in the sun hmmm hell no it's cold
1957006245,sadness,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
1957006547,sadness,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.
1957006674,sadness,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
1957006725,neutral,@juneyee i don't think so.  I WANT DETAILS.
1957006830,neutral,@jackgraycnn Hi...!!! Who is Mary Poppins???
1957007167,neutral,my last tweet didn't send  bad phone
1957007394,neutral,@taxidermi  I was watching Parental Control
1957007633,sadness,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
1957008075,sadness,Took a shift tomorrow.    I don't really feel like working right now.
1957008193,sadness,but now i have no money for a phone
1957008498,sadness,Too bad the Red Devils.. disappointing to say the least
1957008802,sadness,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz)."
1957011291,sadness,@AlexanderGWhite daaammmnnnnn I do wish I was there.
1957012476,sadness,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
1957012769,sadness,is a bad friend
1957013149,neutral,@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!
1957013488,neutral,@aiderushton ill be over in an oir
1957013697,neutral,@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am
1957013885,sadness,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"
1957013896,sadness,@lenje - Still a pity it comes with no lamb though
1957014267,sadness,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
1957014517,neutral,@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down
1957014653,neutral,@yelgiuQnayR airport? and you didnt show up tonight homo!
1957015287,neutral,@MrRathbone what about me
1957015475,neutral,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking"
1957016169,neutral,out with @lizzziemonster &amp; @jamiejamess i am soooo hungry
1957016697,sadness,Had to cancel wow for now
1957017164,sadness,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
1957017333,neutral,back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.
1957017486,neutral,@ poll : was trying to get it to work in a powerpoint to no avail.
1957017522,happiness,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
1957017595,happiness,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
1957017610,neutral,"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!"
1957018061,sadness,Up late with nothin 2 do.....
1957019121,neutral,"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out."
1957019458,neutral,#3wordsaftersex it never started...
1957019556,sadness,sometimes i wish things could go back to the way they were the beginning of last summer
1957020180,sadness,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes."
1957020385,happiness,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
1957020593,neutral,"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well"
1957020702,happiness,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
1957020861,neutral,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only"
1957021224,neutral,@mysticnz no im not  cries LOL
1957021305,sadness,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
1957021631,neutral,Come on Knight... It's been well over 4 hours
1957023842,neutral,twittascope is NOT rocking my socks - go away already!!
1957023917,neutral,Driving Back home because I forgot the piece of cake for @v_era
1957025428,sadness,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
1957026475,sadness,It's pissing me off and not letting me follow ericka
1957027495,sadness,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
1957027630,sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
1957027687,neutral,@koifusionpdx i was so close to the tacos...one spot too late
1957028895,sadness,I haven't seen Muffin in two whole days!
1957029111,sadness,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...
1957029899,neutral,@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home
1957030545,sadness,Just found mj mouse flats at DJs. Of course there are none left in my size
1957030596,neutral,@passingcarss i wont have time to buy  and i need a new binder pa
1957030793,neutral,25-man Ulduar is hard...
1957032014,neutral,night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD]
1957032051,neutral,@princess_oats this is happening to me too
1957032127,neutral,"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk"
1957032228,sadness,@xoshayzers i knoww  things won't be the samee &lt;/3
1957033043,happiness,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
1957033219,neutral,ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.
1957033776,sadness,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
1957033815,neutral,@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30
1957034202,sadness,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
1957034434,neutral,"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips"
1957034566,sadness,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...
1957034940,neutral,@sillybabyjulie me too
1957034983,neutral,@digenis that story reminds of living in Portugal
1957035419,neutral,"@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?"
1957035564,happiness,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
1957036183,neutral,@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.
1957037405,neutral,@MyDailyRoutine yeahhh. &amp;dont judge my pillow
1957038324,sadness,my teeth and head hurts
1957038398,sadness,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
1957039456,sadness,no more arrested development. i am sad.
1957039841,neutral,"@Giggles_xo  wicked , what time you leaving? how come you cant stay the night"
1957039894,sadness,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D
1957039922,sadness,I feel so deflated. No more doggy.
1957040172,sadness,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE."
1957040395,sadness,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
1957040988,sadness,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
1957041648,neutral,@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product
1957041745,sadness,Fuuudge. Movie store is closed
1957041767,sadness,ALO is so sad and quiet and empty tonight
1957042316,sadness,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie
1957042799,neutral,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE
1957042862,neutral,"lyin in bed, up faaaaar too early"
1957043226,sadness,Sad that Christian Lacroix had to file bankruptcy
1957043241,sadness,I dont feel good AT ALL. fuckkk
1957044783,neutral,When will Medhurst play again?
1957045395,sadness,Have to go to the dreaded DMV tomorrow
1957045641,neutral,@duncm I'm a bit Ben's Thai-ed out
1957045692,happiness,english class! working on interactive orals
1957046053,neutral,@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?
1957046815,neutral,in 7-11  w/o you
1957047408,neutral,"@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi"
1957047571,sadness,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.
1957048027,sadness,God I just want to sleep.
1957049167,sadness,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes
1957050747,sadness,@RealBlackWidow But but I dun wanna
1957050890,sadness,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!
1957051517,sadness,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha"
1957052167,neutral,@brettyrocks thats what i was thinking but the only time it's gonna be on is 1 am!
1957052211,neutral,"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her"
1957052932,sadness,feels sick to my stomach and idkk whyy
1957053247,neutral,Counting the hours of lost sunshine until the Weekend
1957053566,sadness,"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER"
1957055396,neutral,good morning work this morning gutted lol nevermind
1957055981,happiness,FB is boring   and i wanna sing RIGHT NOW..! *-*
1957056027,sadness,@judyrey  The link doesn't work
1957056041,neutral,@Deedubau hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble
1957057586,neutral,"love is like a war,,easy to begin, hard to end..fiuuhh..."
1957058504,happiness,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
1957059348,sadness,my stupid tooooth hurts
1957059671,neutral,Ready To Go @ School
1957059917,sadness,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.
1957060283,neutral,@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today
1957062827,sadness,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!
1957063845,sadness,@Penguin_J heehee. i love you! i am tired.
1957064575,sadness,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day"
1957064908,sadness,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job..."
1957065963,neutral,@nayRyelgiuQ airport? and you didnt show up tonight homo!
1957067386,neutral,@avalonabsinthe what?! Come as you are!!! But erock just left  bah D:
1957067988,sadness,@joiskol  being in your room makes me sad.
1957068585,neutral,for the gays i only made 200 tonight
1957068880,sadness,@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks
1957069453,sadness,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!"
1957070484,neutral,"@dravenreborn I bet its cool down in SR, huh? It's not here. I haven't stopped sweating since noon when dad and I were packing"
1957070534,sadness,@meljachin: eww. dislike
1957070871,neutral,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....
1957071331,sadness,"@SuzyDunkley sorry bout the cat,"
1957071583,neutral,needs to have an increase on her salary  http://plurk.com/p/wxluu
1957072896,sadness,missed iron chef
1957073073,sadness,@thevowel the DS version sucks
1957073201,sadness,what a bad day
1957074267,neutral,the week just wasnt the same without an adam lambert performance!!!
1957074812,neutral,@rockingjude The link doesn't work
1957075035,neutral,"GOSSIP GIRL, WHEN ARE YOU COMING BACK  ! chaceeeeeee.."
1957075180,neutral,Smh @ hiphop nursery rhymes
1957075268,happiness,@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol
1957076048,sadness,went to the cd store to search for the cd. But
1957076433,sadness,I miss my mom..  &quot;May angels lead you in&quot;
1957077528,neutral,"@taylor_d No, it's not..."
1957077552,sadness,@chocolovere i feel the same way every day
1957077564,sadness,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.
1957077934,neutral,@crunchmonkey78 well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it
1957078157,sadness,Sleppytime. Really missing my godfather right now. Love you Wayne
1957078740,sadness,So have a headache right now and it sucks
1957079403,sadness,"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please"
1957079496,sadness,"comfort food of the day: pan mee. though, it didnt taste any good.."
1957079568,sadness,misses my baby.
1957080521,neutral,@mousebudden I'ma need you to follow me real quick cause I can't DM you
1957080579,sadness,I'm poorly and can't sleep
1957082926,sadness,has work tom.
1957082939,neutral,In the Hongkong International Airport. Has to wait for 3-4 hours for our next flight to Cebu.
1957083056,neutral,Can't sleep and nothings on tv!!
1957083230,neutral,@KallieT oh ... you've been superseeded?  not good enough
1957083616,sadness,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm
1957084166,sadness,Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.
1957084446,sadness,@nickkk_ that sucks!
1957084552,neutral,@dorkydeanna IIII know!!! and mean
1957084638,sadness,Having Fever  dont feel to work
1957084935,neutral,@BusyGod PGPM student from where? I myself was a PGPM student about 4 years back. I wish I could stay one
1957084945,sadness,missing @MeLDiBiAsE...6 days can't pass quick enough
1957085211,sadness,"Working from home today, my back is killing me  Doctor and then physio after later today."
1957085406,neutral,back to work.. with no distractions..
1957086137,happiness,"@ddlovato demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!"
1957086150,neutral,awwww  i never noticed this http://bit.ly/RConp
1957086168,neutral,"@heavyharts that sucks  well state starts tomorrow so im headin 2 bed, nitey nite"
1957086920,neutral,@mygoldmask did you guys keep a set list? I forgot to ask for one  xx
1957087043,neutral,"First impression of Silverlight: sadly, based on what I saw today, it's quite problematic"
1957087793,sadness,Missing you all deeply
1957088016,neutral,"the time you go to bed,  i have to get up to go to work"
1957088179,happiness,"@mrssunshine96 big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot"
1957088224,sadness,"@Ravels sniff sniff  take care ravels! Hopefully we'll be chatting again soon. In the mean time, I'll HELLA miss you."
1957088340,neutral,"@miss_cheryl Lucky, now I want to teleport"
1957089208,sadness,I don't want her to leave..
1957089465,happiness,"good lord, just seen the agency work for our upcoming Open Day. Money for Jam"
1957090408,sadness,"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack"
1957090496,sadness,@WillyNorthpole I wish I was there
1957090643,sadness,"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end..."
1957091075,neutral,FC is finally up again. it's about time. i hate that this keeps happening
1957091147,neutral,seriously bored without anyone to talk to... but not tired enough for sleep
1957091327,sadness,morning again! I hate mornings. So offensive!
1957091357,neutral,@keytar still!! give your computer a break omg
1957091372,sadness,bed bed bed @samuelasanders do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day
1957091954,neutral,where u at?
1957092017,sadness,@brianshead waah. We're no longer your peeps.
1957092623,sadness,@angelica_yo LOL wow dawg doesn't sound like you're playing!  I feel bad now haha
1957093069,happiness,My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.
1957093148,neutral,@Forever_Yours13 I'm not at home with my cats right now!
1957093807,neutral,Leno's last show was tonight.  I like him better than Conan.
1957093920,sadness,@MariusLT I'm sorry about your bad driving experiences.
1957093924,neutral,@monpio i don't have any of that
1957094323,sadness,Already misses @CMontecillo
1957095604,neutral,@eCheers Random has an a
1957096324,sadness,Gutted that the bathroom still isn't free- early work isn't going to happen  . And I need the loo!
1957096447,neutral,@ddlovato july... too long
1957097629,neutral,Wearing glasses gives me a headache.
1957098844,sadness,thank you @ddlovato (: cant wait!!!! ummm btw ima crash still sick
1957098983,sadness,"First my work computer, now my home laptop is fucked."
1957099757,neutral,"@shanajaca But @feltbeats is on page 6 at Ms Twitterworld, only 26 votes"
1957100351,neutral,sleep....good night tweeties!!! down to OC tomorrow. I hope and pray that Rachyl gets better SOON!!!
1957100428,sadness,@joek949 It's depressing I'm stuck inside all day
1957100791,sadness,i hate being sick. i miss @cynthiasheree @lucyowns and @larilync
1957101169,neutral,@iceweasel im eating sliders at barjohnnys! (theyre pork tho not beef  still on the search...)
1957101953,happiness,Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year
1957102054,sadness,"Woke Up,I Wanna Stay In My bed"
1957102464,sadness,Upsidedown tomato plants died!
1957103043,neutral,"friday here at last, not much fun when your skint though"
1957103831,sadness,@ddlovato Caan't Iht Be Earlier? ICant Wait That Long.  Ahar. (:
1957103842,happiness,"Friday yay!! And a bonus, don't have to drive to Wales tonight.  Athough will miss kitten cuddles and going for a ride"
1957104581,neutral,I don't think I will be able to get out of bed tomorrow morning  we will seeeee!
1957104858,neutral,the times they are a changing
1957104948,sadness,@prncsztalia why do you hate me!?
1957105525,neutral,@slickiris video is not available to us foreigners
1957105755,sadness,http://twitpic.com/663vr - Wanted to visit the animals but we were too late
1957106328,sadness,#jonaswebcast i just missed it!!!!
1957106752,neutral,waiting to get picked up!
1957106916,sadness,So exhausted..can't sleep. I don't like these nights
1957107095,sadness,i'm gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don't have access to the interwebz
1957108151,sadness,@NothinButSin sorry to hear that.
1957109281,sadness,Just found out I can't drink at this bar! Booo missing e1 at palomino's! No cheers sad face
1957110716,neutral,"@Giggles_xo   dang it, so its not certain ? ? ? are you okay?"
1957111029,neutral,wishes Dave Gilmour and Roger Waters would re-unite for a Pink Floyd concert
1957111072,sadness,finished a whole box of ice cream
1957111113,neutral,In 1 horse town + 2 blown out car speakers =
1957111130,neutral,Someone make me a cofffeeeeeee......
1957111950,neutral,My nose is stuffy
1957112500,neutral,last night in newport
1957112843,happiness,"Ok, other then my shoe, the club is cool. Its fun, and its poppin except 4 the ppl tryna dance wit me"
1957112925,neutral,Aright Twitter Fam... guess ima be outties.. gonna try n sleep off some of this horrible pain
1957113207,neutral,Baby was not herself after recieving vaccines
1957113346,happiness,"@o0hemmy lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it"
1957113650,sadness,@chrisontv88 btw I am not a wimp
1957114575,sadness,@queenbmakeup i can't add you on myspace girly  it asks for a last name and email
1957114960,sadness,I don't wanna go back to work   sleepy time.
1957115198,neutral,watching The Biggest Loser on Hallmark. Never fails to make me cry  nyeh.
1957115476,neutral,@zaharh that sucks!  how old are you actually?
1957115742,neutral,Still confuse...
1957116289,sadness,http://bit.ly/3W9w1  NOOOO! he goes for Orlando! OMG  I'm gonna CRY!!!!!!!!
1957116826,neutral,scratch that; sleep on a stage bound.
1957117307,neutral,@officialTila I cnt get it!! its goin to ur old messages?!?  &gt;&gt;&gt;&gt; HELP?&lt;&lt;&lt;&lt;
1957117786,neutral,@laurelexmachina Swimming is a no go for me
1957117968,sadness,"@johnpopham Morning John, yes I do, however I have a diary clash and sadly can't attend!"
1957118155,sadness,I miss my friend
1957118207,neutral,"@duciaestherine ohh ic ic haha, iyaa my summer is filled with ONE Course that lasts for the whole summer"
1957118513,sadness,Yea i just saw this really sad commercial
1957118612,sadness,Hmmm. Using TinyTwitter on a small non-touch screen is really not much fun
1957119180,neutral,@Joshuah_Pearson
1957119815,neutral,@ccburns Unfortunately not
1957120549,sadness,Hates having to sleep alone
1957120767,neutral,@emlevins
1957120981,sadness,I loved johnny carson now I'm going to hate seeing jay leno go
1957121259,sadness,even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn't like us happy  haha
1957121970,sadness,@razitul ya. i was suffering the whole day yesterday. met dentist and feel a bit better. i still look like rocky balboa though
1957122428,neutral,ups ketauan cabut nih gimana dong
1957122923,sadness,I didn't get a callback for the play I cried...  oh well I guess it's back to being a techie..
1957123048,happiness,@UniqueMakis Awesome! Wish I could fly out to see her
1957123281,sadness,@lunafactor I kinda wish I went with you now!.. I can't fall asleep
1957123693,neutral,Off to bed!! Still exhausted from Vegas
1957124088,neutral,Took a 4 hour nap after work today and won't be able to sleep all night    This is a bummer
1957125420,neutral,Loving lil ken and absolutely dreading saying goodbye in less than a week
1957125620,sadness,@Dakshinamurti Not yet... sorry
1957125863,neutral,HII!! Thatsï¿½meE!! I woke up and I am goinG to SchooL... Why me??
1957126750,sadness,FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited
1957126889,neutral,asks for karma points please.  http://plurk.com/p/wxnt9
1957128448,happiness,someone take me to LA  I NEED TO SEE THE LEMON TREE
1957128473,sadness,um... so I don't think my text msgs have a &quot;subject line&quot; ... I fail
1957128727,sadness,tummy ache.
1957129667,neutral,L.A. said &quot;wipe the slate clean&quot; before the jelly!
1957130105,happiness,"@hiracdelest who's the one always working now?  oh yeah, still me."
1957130295,neutral,@seanpercival Unless that invite comes with a beta key I'm not going to be much help...
1957130303,neutral,@Johnny_Exp not where i live.
